,subject,set,day,task,trainingtype,order,Subject2,Session,Age,Sex,Handedness,Group,Block,Trial,Training,TypeLettre,typemismatch,matching,LetterStimAud,accuracy,RT
6,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,1.0,AV,LeftRight,match,match,L1_RU.png,0.0,0.0
7,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,2.0,AV,UpDown,match,match,L2_RU.png,1.0,715.0
8,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,3.0,AV,LeftRight,match,match,L1_LU.png,1.0,671.0
9,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,4.0,AV,control,match,match,L4_RU.png,1.0,783.0
10,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,5.0,AV,control,diffLettre,mismatch,L3_LU.png,1.0,520.0
11,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,6.0,AV,LeftRight,miroir,mismatch,L1_LU.png,1.0,575.0
12,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,7.0,AV,UpDown,match,match,L2_RD.png,1.0,552.0
13,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,8.0,AV,UpDown,UpDown,mismatch,L2_RD.png,1.0,527.0
14,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,9.0,AV,UpDown,UpDown,mismatch,L2_RU.png,1.0,689.0
15,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,10.0,AV,LeftRight,miroir,mismatch,L1_RU.png,1.0,667.0
16,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,11.0,AV,control,diffLettre,mismatch,L4_RU.png,1.0,617.0
17,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,7.0,12.0,AV,control,match,match,L3_LU.png,0.0,1372.0
18,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,1.0,AV,new,UpDown,mismatch,L3_LU.png,1.0,704.0
19,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,2.0,AV,UpDown,match,match,L2_RU.png,1.0,704.0
20,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,3.0,AV,LeftRight,match,match,L1_LU.png,1.0,740.0
21,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,4.0,AV,new,miroir,mismatch,L2_RD.png,1.0,423.0
22,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,5.0,AV,UpDown,match,match,L2_RD.png,1.0,588.0
23,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,6.0,AV,control,match,match,L3_LU.png,1.0,564.0
24,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,7.0,AV,control,match,match,L4_RU.png,1.0,707.0
25,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,8.0,AV,new,diffLettre,mismatch,L1_RU.png,1.0,583.0
26,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,9.0,AV,new,UpDown,mismatch,L4_RU.png,1.0,580.0
27,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,10.0,AV,LeftRight,match,match,L1_RU.png,1.0,592.0
28,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,11.0,AV,UpDown,diffLettre,mismatch,L1_LU.png,1.0,491.0
29,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,8.0,12.0,AV,new,miroir,mismatch,L2_RU.png,1.0,772.0
30,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,9.0,1.0,AV,new,miroir,mismatch,L3_LU.png,1.0,514.0
31,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,9.0,2.0,AV,new,miroir,mismatch,L4_RU.png,1.0,1030.0
32,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,9.0,3.0,AV,control,match,match,L3_LU.png,1.0,474.0
33,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,9.0,4.0,AV,control,diffLettre,mismatch,L2_RD.png,1.0,609.0
34,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,9.0,5.0,AV,control,diffLettre,mismatch,L2_RU.png,1.0,572.0
35,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,9.0,6.0,AV,new,UpDown,mismatch,L1_RU.png,1.0,519.0
36,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,9.0,7.0,AV,LeftRight,match,match,L1_LU.png,1.0,490.0
37,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,9.0,8.0,AV,UpDown,match,match,L2_RU.png,1.0,626.0
38,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,9.0,9.0,AV,control,match,match,L4_RU.png,1.0,607.0
39,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,9.0,10.0,AV,LeftRight,match,match,L1_RU.png,1.0,550.0
40,2,A,2,association,LowCOG,2,2.0,2.0,20.0,female,right,2.0,9.0,11.0,AV,new,UpDown,mismatch,L1_LU.png,1.0,516.0
