,subject,set,day,task,trainingtype,order,Subject2,Session,Group,Block,BlockList,trial,TrialList1,TrialList1.Cycle,TrialList1.Sample,Bloc,TypeLetter1,Training,InputVis1,accuracy,RT
396,2,B,2,visualrecognition,AV,1,2.0,2.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,UpDown,AV,L5_RU.png,1.0,488.0
397,2,B,2,visualrecognition,AV,1,2.0,2.0,2.0,1.0,1.0,2.0,27.0,1.0,2.0,1.0,New,AV,L8_LU.png,1.0,359.0
398,2,B,2,visualrecognition,AV,1,2.0,2.0,2.0,1.0,1.0,3.0,9.0,1.0,3.0,1.0,New,AV,L7_LU.png,1.0,446.0
399,2,B,2,visualrecognition,AV,1,2.0,2.0,2.0,1.0,1.0,4.0,10.0,1.0,4.0,1.0,New,AV,L7_LU_big.png,1.0,324.0
400,2,B,2,visualrecognition,AV,1,2.0,2.0,2.0,1.0,1.0,5.0,4.0,1.0,5.0,1.0,UpDown,AV,L6_LU.png,0.0,361.0
401,2,B,2,visualrecognition,AV,1,2.0,2.0,2.0,1.0,1.0,6.0,22.0,1.0,6.0,1.0,New,AV,L6_RU_big.png,1.0,757.0
402,2,B,2,visualrecognition,AV,1,2.0,2.0,2.0,1.0,1.0,7.0,29.0,1.0,7.0,1.0,New,AV,L8_RU.png,1.0,492.0
403,2,B,2,visualrecognition,AV,1,2.0,2.0,2.0,1.0,1.0,8.0,32.0,1.0,8.0,1.0,New,AV,L8_RU_big.png,1.0,485.0
404,2,B,2,visualrecognition,AV,1,2.0,2.0,2.0,1.0,1.0,9.0,25.0,1.0,9.0,1.0,New,AV,L7_RU_big.png,1.0,533.0
405,2,B,2,visualrecognition,AV,1,2.0,2.0,2.0,1.0,1.0,10.0,28.0,1.0,10.0,1.0,New,AV,L8_RD_big.png,0.0,389.0
406,2,B,2,visualrecognition,AV,1,2.0,2.0,2.0,1.0,1.0,11.0,5.0,1.0,11.0,1.0,control,AV,L7_LD.png,1.0,551.0
